wall_utc_ns,utc_iso8601,ros_now_ns,monotonic_ns,measurement_stamp_ns,measurement_stamp_sec,measurement_stamp_nanosec,f411_mcu_ms,dronecan_network_us,dronecan_gnss_us,dronecan_time_standard,timestamp_source_code,x_m,y_m,xy_source,gnss_east_m,gnss_north_m,longitude_deg,latitude_deg,altitude_m,hacc_m,fix_type,satellites,yaw_neo3_deg,yaw_neo3_source,yaw_neo3_valid,yaw_yahboom_deg,yaw_yahboom_source,yaw_yahboom_valid,yaw_inertial_deg,yaw_inertial_source,yaw_inertial_valid,yaw_gnss_heading_deg,yaw_imu_orientation_deg,gyro_z_rps,neo3_mag_norm_ut,yahboom_corrected_norm,map_yaw_from_enu_deg
1789298000769541736,2026-09-13T11:13:20.769542+00:00,1789298000769549525,25827986089302,1789298000769549525,1789298000,769549525,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298000869542961,2026-09-13T11:13:20.869543+00:00,1789298000869549260,25828086090905,1789298000869549260,1789298000,869549260,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298000969513476,2026-09-13T11:13:20.969513+00:00,1789298000969519458,25828186061060,1789298000969519458,1789298000,969519458,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298001069513348,2026-09-13T11:13:21.069514+00:00,1789298001069519352,25828286060832,1789298001069519352,1789298001,69519352,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298001312882933,2026-09-13T11:13:21.312883+00:00,1789298001312889486,25828529430555,1789298001312889486,1789298001,312889486,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298001375331770,2026-09-13T11:13:21.375332+00:00,1789298001375333401,25828591878723,1789298001375333401,1789298001,375333401,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,-120.48533205607848,neo3_calibrated_diag,1,150.65291039029825,yahboom_calibrated_diag,0,-120.51042904484102,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.80089166968371,1.2608741939546408,0.0
1789298001475323843,2026-09-13T11:13:21.475324+00:00,1789298001475325594,25828691870772,1789298001400000000,1789298001,400000000,1241727,1789298001408887,1789298001400000,2,4,-0.0,0.0,gnss_local_enu,-0.0,0.0,110.4339241,-7.0532808,48.918,15.443,3,9,-120.49029128922328,neo3_calibrated_diag,1,150.7175999049266,yahboom_calibrated_diag,0,-120.51042904484102,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.7750406035529,1.258733409267467,0.0
1789298001575187729,2026-09-13T11:13:21.575188+00:00,1789298001575189296,25828791734707,1789298001400000000,1789298001,400000000,1241727,1789298001408887,1789298001400000,2,4,-0.0,0.0,gnss_local_enu,-0.0,0.0,110.4339241,-7.0532808,48.918,15.443,3,9,-120.50883927186104,neo3_calibrated_diag,1,150.77198456423878,yahboom_calibrated_diag,0,-120.51042904484102,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.76376565014943,1.2605122254598682,0.0
1789298001675680427,2026-09-13T11:13:21.675680+00:00,1789298001675682606,25828892227456,1789298001600000000,1789298001,600000000,1241926,1789298001607944,1789298001600000,2,4,2.8615251439012708,5.275236744627427,gnss_local_enu,2.8615251439012708,5.275236744627427,110.43395,-7.0532331,54.288000000000004,15.819,3,9,-120.49768358908268,neo3_calibrated_diag,1,150.77789193558567,yahboom_calibrated_diag,0,-120.51042904484102,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.768202174429774,1.2617133127365578,0.0
1789298001775415139,2026-09-13T11:13:21.775415+00:00,1789298001775416807,25828991962077,1789298001600000000,1789298001,600000000,1241926,1789298001607944,1789298001600000,2,4,2.8615251439012708,5.275236744627427,gnss_local_enu,2.8615251439012708,5.275236744627427,110.43395,-7.0532331,54.288000000000004,15.819,3,9,-120.55804329813427,neo3_calibrated_diag,1,150.8982692927102,yahboom_calibrated_diag,0,-120.51042904484102,logger_gyro_integral:neo3_diag,1,nan,-159.697265625,0.0,42.82503901028463,1.2600018597281977,0.0
