source_mode,sample_seq,wall_utc_ns,utc_iso8601,ros_now_ns,monotonic_ns,measurement_stamp_ns,measurement_stamp_sec,measurement_stamp_nanosec,f411_mcu_ms,dronecan_network_us,dronecan_gnss_us,dronecan_time_standard,timestamp_source_code,x_m,y_m,xy_source,gnss_east_m,gnss_north_m,longitude_deg,latitude_deg,altitude_m,hacc_m,vacc_m,fix_type,fix_valid,satellites,satellites_visible,gnss_ground_speed_mps,gnss_course_deg,gnss_vel_n_mps,gnss_vel_e_mps,gnss_vel_d_mps,gnss_sacc_mps,gnss_course_acc_deg,gnss_pdop,gnss_rate_hz,yaw_neo3_deg,yaw_neo3_source,yaw_neo3_valid,neo3_mag_x_ut,neo3_mag_y_ut,neo3_mag_z_ut,neo3_mag_norm_ut,neo3_node_id,yaw_yahboom_deg,yaw_yahboom_source,yaw_yahboom_valid,yah_mag_raw_x_lsb,yah_mag_raw_y_lsb,yah_mag_raw_z_lsb,yah_mag_corrected_x,yah_mag_corrected_y,yahboom_corrected_norm,yaw_inertial_deg,yaw_inertial_source,yaw_inertial_valid,gyro_integrated_yaw_deg,yaw_gnss_heading_deg,yaw_imu_orientation_deg,map_yaw_from_enu_deg,imu_acc_raw_x,imu_acc_raw_y,imu_acc_raw_z,imu_acc_x_mps2,imu_acc_y_mps2,imu_acc_z_mps2,imu_acc_norm_mps2,imu_gyro_raw_x,imu_gyro_raw_y,imu_gyro_raw_z,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_gyro_x_rps,imu_gyro_y_rps,imu_gyro_z_rps,gyro_z_rps,imu_angle_raw_roll,imu_angle_raw_pitch,imu_angle_raw_yaw,imu_roll_deg,imu_pitch_deg,imu_accgyro_yaw_deg,baro_pressure_pa,baro_temperature_k,neo3_crc_ok,yahboom_checksum_ok,bad_neo3_crc,bad_yahboom_checksum,f4_line_count,gnss_count,neo3_mag_count,imu_acc_count,imu_gyro_count,imu_angle_count,imu_mag_count,raw_message_count,raw_reference
DIRECT_SERIAL,1,1789353495757772435,2026-09-14T02:38:15.757772+00:00,-1,22475959962565,1789353495757772435,1789353495,757772435,-1,-1,-1,-1,3,nan,nan,gnss_stale,nan,nan,nan,nan,nan,nan,nan,-1,0,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,neo3_stale,0,nan,nan,nan,nan,-1,nan,yahboom_stale,0,nan,nan,nan,nan,nan,nan,nan,imu_stale,0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,98809.203,305.0,1,,0,0,9,0,0,0,0,0,0,11,F4line=9;YAH=0
DIRECT_SERIAL,2,1789353495811884461,2026-09-14T02:38:15.811885+00:00,-1,22476014074832,1789348395600000000,1789348395,600000000,32127381,1789348395607885,1789348395600000,2,4,3.5136086641075748,4.291211643140404,gnss_local_enu_direct,3.5136086641075748,4.291211643140404,110.4365917,-7.0490313,414.92,14.309,14.526,3,1,9,0,23.1709,39.45,17.892,14.723,-22.184,6.7892,16.788,99.0,5.01,114.69050652250863,neo3_calibrated_direct,1,27.4902,-8.14819,-32.6172,43.42793838252168,7,149.32784452030043,yahboom_calibrated_direct,0,3169,2937,2810,0.014443940749876573,0.545481826344329,0.5456730250766759,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-213,-64,2032,-1.0199299072265624,-0.3064578125,9.730035546875,9.78814411162548,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98809.812,305.0,1,1,0,0,66,2,16,2,2,2,2,76,F4line=66;YAH=8
DIRECT_SERIAL,3,1789353495871708572,2026-09-14T02:38:15.871709+00:00,-1,22476073898950,1789353495800000000,1789353495,800000000,37227691,1789353495807859,1789353495800000,2,4,-167.49864384531833,-201.25009423733144,gnss_local_enu_direct,-167.49864384531833,-201.25009423733144,110.4350439,-7.0508898,232.13,5.958,6.921,3,1,13,0,0.1892,173.626,-0.188,0.021,-0.121,1.1241,180.0,99.0,5.01,114.60609479830212,neo3_calibrated_direct,1,27.5146,-8.17261,-32.6904,43.50295414718522,7,149.50530727000645,yahboom_calibrated_direct,0,3158,2936,2782,0.012777525633515068,0.5452964187837379,0.5454461013699564,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-213,-64,2037,-1.0199299072265624,-0.3064578125,9.753977563476562,9.811944339186889,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98797.0,305.0,1,1,0,0,74,3,17,5,5,5,5,96,F4line=74;YAH=20
DIRECT_SERIAL,4,1789353495931614234,2026-09-14T02:38:15.931614+00:00,-1,22476133804502,1789353495800000000,1789353495,800000000,37227691,1789353495807859,1789353495800000,2,4,-167.49864384531833,-201.25009423733144,gnss_local_enu_direct,-167.49864384531833,-201.25009423733144,110.4350439,-7.0508898,232.13,5.958,6.921,3,1,13,0,0.1892,173.626,-0.188,0.021,-0.121,1.1241,180.0,99.0,5.01,114.79948035158306,neo3_calibrated_direct,1,27.4902,-8.11768,-32.6416,43.44055565001903,7,149.55353760526032,yahboom_calibrated_direct,0,3155,2928,2811,0.012298567665536296,0.544082450597692,0.544221432704569,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-211,-64,2035,-1.0103531005859374,-0.3064578125,9.744400756835937,9.801432338619223,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-332,1080,21359,-1.82373046875,5.9326171875,117.3284912109375,98797.0,305.0,1,1,0,0,78,3,19,8,8,8,8,112,F4line=78;YAH=32
DIRECT_SERIAL,5,1789353495991437759,2026-09-14T02:38:15.991438+00:00,-1,22476193628067,1789353495800000000,1789353495,800000000,37227691,1789353495807859,1789353495800000,2,4,-167.49864384531833,-201.25009423733144,gnss_local_enu_direct,-167.49864384531833,-201.25009423733144,110.4350439,-7.0508898,232.13,5.958,6.921,3,1,13,0,0.1892,173.626,-0.188,0.021,-0.121,1.1241,180.0,99.0,5.01,114.6758944036426,neo3_calibrated_direct,1,27.4658,-8.14209,-32.5928,43.39302260788133,7,149.26225636344162,yahboom_calibrated_direct,0,3173,2927,2826,0.015017076383580491,0.543988919233122,0.5441961565754856,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-211,-66,2036,-1.0103531005859374,-0.316034619140625,9.749189160156249,9.806496854069097,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98799.438,305.0,1,1,0,0,81,3,20,11,11,11,11,127,F4line=81;YAH=44
DIRECT_SERIAL,6,1789353496041640637,2026-09-14T02:38:16.041641+00:00,-1,22476243830839,1789353495800000000,1789353495,800000000,37227691,1789353495807859,1789353495800000,2,4,-167.49864384531833,-201.25009423733144,gnss_local_enu_direct,-167.49864384531833,-201.25009423733144,110.4350439,-7.0508898,232.13,5.958,6.921,3,1,13,0,0.1892,173.626,-0.188,0.021,-0.121,1.1241,180.0,99.0,5.01,114.41061744823847,neo3_calibrated_direct,1,27.4414,-8.18481,-32.666,43.44063886150962,7,149.47335250402978,yahboom_calibrated_direct,0,3160,2943,2838,0.013102111186651545,0.5463566608560966,0.546513738326285,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-213,-65,2036,-1.0199299072265624,-0.3112462158203125,9.749189160156249,9.807335035728398,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98799.438,305.0,1,1,0,0,86,3,22,14,14,14,14,144,F4line=86;YAH=56
DIRECT_SERIAL,7,1789353496091831182,2026-09-14T02:38:16.091831+00:00,-1,22476294021354,1789353496000000000,1789353496,0,37227898,1789353496014673,1789353496000000,2,4,-167.4544480096973,-201.21691430583283,gnss_local_enu_direct,-167.4544480096973,-201.21691430583283,110.4350443,-7.0508895,232.09,5.953,6.917,3,1,13,0,0.0732,38.904,0.057,0.046,0.694,1.5848,180.0,99.0,4.98,114.52891193936053,neo3_calibrated_direct,1,27.4902,-8.17871,-32.6904,43.48867261096963,7,149.45687959508697,yahboom_calibrated_direct,0,3161,2936,2846,0.01323113844397083,0.545305923217809,0.5454664177756047,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-213,-64,2032,-1.0199299072265624,-0.3064578125,9.730035546875,9.78814411162548,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98799.133,304.75,1,1,0,0,94,4,23,17,17,17,16,163,F4line=94;YAH=67
DIRECT_SERIAL,8,1789353496145341279,2026-09-14T02:38:16.145341+00:00,-1,22476347531463,1789353496000000000,1789353496,0,37227898,1789353496014673,1789353496000000,2,4,-167.4544480096973,-201.21691430583283,gnss_local_enu_direct,-167.4544480096973,-201.21691430583283,110.4350443,-7.0508895,232.09,5.953,6.917,3,1,13,0,0.0732,38.904,0.057,0.046,0.694,1.5848,180.0,99.0,4.98,114.805004193268,neo3_calibrated_direct,1,27.4902,-8.11157,-32.7148,43.494445656254776,7,149.5051918870416,yahboom_calibrated_direct,0,3158,2933,2868,0.01276802119944394,0.5448447448767474,0.5449943287642152,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-211,-64,2039,-1.0103531005859374,-0.3064578125,9.763554370117188,9.820474719530637,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98799.742,304.75,1,1,0,0,97,4,24,19,19,19,19,175,F4line=97;YAH=76
DIRECT_SERIAL,9,1789353496210968083,2026-09-14T02:38:16.210968+00:00,-1,22476413158384,1789353496000000000,1789353496,0,37227898,1789353496014673,1789353496000000,2,4,-167.4544480096973,-201.21691430583283,gnss_local_enu_direct,-167.4544480096973,-201.21691430583283,110.4350443,-7.0508895,232.09,5.953,6.917,3,1,13,0,0.0732,38.904,0.057,0.046,0.694,1.5848,180.0,99.0,4.98,114.70606471038771,neo3_calibrated_direct,1,27.4902,-8.14209,-32.6416,43.44512373291276,7,149.52148458907496,yahboom_calibrated_direct,0,3157,2937,2859,0.012629489508053525,0.5454438086080444,0.5455900038986079,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-215,-64,2034,-1.0295067138671874,-0.3064578125,9.739612353515625,9.798665687811482,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98799.742,304.75,1,1,0,0,101,4,26,22,22,22,22,191,F4line=101;YAH=88
DIRECT_SERIAL,10,1789353496270830906,2026-09-14T02:38:16.270831+00:00,-1,22476473021166,1789353496200000000,1789353496,200000000,37228091,1789353496208004,1789353496200000,2,4,-167.37710697300764,-201.12843769018747,gnss_local_enu_direct,-167.37710697300764,-201.12843769018747,110.435045,-7.0508887,232.08,5.94,6.91,3,1,14,0,0.1335,125.238,-0.077,0.109,0.291,1.5188,180.0,99.0,5.01,114.29593687324486,neo3_calibrated_direct,1,27.4414,-8.20923,-32.6904,43.46359560957767,7,149.58604411121212,yahboom_calibrated_direct,0,3153,2937,2814,0.012024672427445843,0.545431136029283,0.5455636689674098,125.07887244053198,neo3_calibrated_direct:gyro_integral,1,125.07887244053198,nan,117.3284912109375,0.0,-212,-64,2030,-1.01514150390625,-0.3064578125,9.720458740234374,9.778125934165205,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331,1080,21359,-1.8182373046875,5.9326171875,117.3284912109375,98798.828,304.75,1,1,0,0,112,5,27,25,25,25,25,214,F4line=112;YAH=100
