wall_utc_ns,utc_iso8601,ros_now_ns,monotonic_ns,measurement_stamp_ns,measurement_stamp_sec,measurement_stamp_nanosec,f411_mcu_ms,dronecan_network_us,dronecan_gnss_us,dronecan_time_standard,timestamp_source_code,x_m,y_m,xy_source,gnss_east_m,gnss_north_m,longitude_deg,latitude_deg,altitude_m,hacc_m,fix_type,satellites,yaw_neo3_deg,yaw_neo3_source,yaw_neo3_valid,yaw_yahboom_deg,yaw_yahboom_source,yaw_yahboom_valid,yaw_inertial_deg,yaw_inertial_source,yaw_inertial_valid,yaw_gnss_heading_deg,yaw_imu_orientation_deg,gyro_z_rps,neo3_mag_norm_ut,yahboom_corrected_norm,map_yaw_from_enu_deg
1789298622513757438,2026-09-13T11:23:42.513757+00:00,1789298622513767132,26449730304967,1789298622513767132,1789298622,513767132,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298622613737523,2026-09-13T11:23:42.613738+00:00,1789298622613744008,26449830285391,1789298622613744008,1789298622,613744008,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298622713715514,2026-09-13T11:23:42.713716+00:00,1789298622713720995,26449930262987,1789298622713720995,1789298622,713720995,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298622813742948,2026-09-13T11:23:42.813743+00:00,1789298622813749130,26450030290445,1789298622813749130,1789298622,813749130,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298622913814576,2026-09-13T11:23:42.913815+00:00,1789298622913820126,26450130362083,1789298622913820126,1789298622,913820126,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298623013740363,2026-09-13T11:23:43.013740+00:00,1789298623013746096,26450230287861,1789298623013746096,1789298623,13746096,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298623113741383,2026-09-13T11:23:43.113741+00:00,1789298623113746855,26450330288871,1789298623113746855,1789298623,113746855,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298623213743691,2026-09-13T11:23:43.213744+00:00,1789298623213749640,26450430291172,1789298623213749640,1789298623,213749640,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298623313736549,2026-09-13T11:23:43.313736+00:00,1789298623313742871,26450530284057,1789298623313742871,1789298623,313742871,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789298623413862864,2026-09-13T11:23:43.413863+00:00,1789298623413869585,26450630410402,1789298623413869585,1789298623,413869585,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
