wall_utc_ns,utc_iso8601,ros_now_ns,monotonic_ns,measurement_stamp_ns,measurement_stamp_sec,measurement_stamp_nanosec,f411_mcu_ms,dronecan_network_us,dronecan_gnss_us,dronecan_time_standard,timestamp_source_code,x_m,y_m,xy_source,gnss_east_m,gnss_north_m,longitude_deg,latitude_deg,altitude_m,hacc_m,fix_type,satellites,yaw_neo3_deg,yaw_neo3_source,yaw_neo3_valid,yaw_yahboom_deg,yaw_yahboom_source,yaw_yahboom_valid,yaw_inertial_deg,yaw_inertial_source,yaw_inertial_valid,yaw_gnss_heading_deg,yaw_imu_orientation_deg,gyro_z_rps,neo3_mag_norm_ut,yahboom_corrected_norm,map_yaw_from_enu_deg
1789311695432057309,2026-09-13T15:01:35.432057+00:00,1789311695432067042,39522648605065,1789311695432067042,1789311695,432067042,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311695532045850,2026-09-13T15:01:35.532046+00:00,1789311695532052146,39522748593438,1789311695532052146,1789311695,532052146,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311695632058317,2026-09-13T15:01:35.632058+00:00,1789311695632064062,39522848605946,1789311695632064062,1789311695,632064062,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311695732053963,2026-09-13T15:01:35.732054+00:00,1789311695732060283,39522948601550,1789311695732060283,1789311695,732060283,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311695913094423,2026-09-13T15:01:35.913094+00:00,1789311695913099968,39523129642064,1789311695913099968,1789311695,913099968,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311695932089540,2026-09-13T15:01:35.932090+00:00,1789311695932095756,39523148637431,1789311695932095756,1789311695,932095756,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696032074864,2026-09-13T15:01:36.032075+00:00,1789311696032081215,39523248623006,1789311696032081215,1789311696,32081215,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696132096282,2026-09-13T15:01:36.132096+00:00,1789311696132102478,39523348643903,1789311696132102478,1789311696,132102478,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696232067984,2026-09-13T15:01:36.232068+00:00,1789311696232073993,39523448615579,1789311696232073993,1789311696,232073993,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696332202461,2026-09-13T15:01:36.332202+00:00,1789311696332208746,39523548750074,1789311696332208746,1789311696,332208746,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696432074234,2026-09-13T15:01:36.432074+00:00,1789311696432080758,39523648622224,1789311696432080758,1789311696,432080758,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696532089491,2026-09-13T15:01:36.532090+00:00,1789311696532095740,39523748637218,1789311696532095740,1789311696,532095740,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696632081750,2026-09-13T15:01:36.632082+00:00,1789311696632087983,39523848629322,1789311696632087983,1789311696,632087983,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696732086910,2026-09-13T15:01:36.732087+00:00,1789311696732093385,39523948634818,1789311696732093385,1789311696,732093385,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696832374387,2026-09-13T15:01:36.832374+00:00,1789311696832380395,39524048922034,1789311696832380395,1789311696,832380395,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311696932081726,2026-09-13T15:01:36.932082+00:00,1789311696932088273,39524148629494,1789311696932088273,1789311696,932088273,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
1789311697032086218,2026-09-13T15:01:37.032086+00:00,1789311697032092710,39524248633851,1789311697032092710,1789311697,32092710,-1,-1,-1,-1,-1,nan,nan,gnss_local_enu,nan,nan,nan,nan,nan,nan,-1,-1,nan,neo3_calibrated_diag,0,nan,yahboom_calibrated_diag,0,nan,logger_gyro_integral:none,0,nan,nan,nan,nan,nan,0.0
